Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, m12, m21, T1, T2, T3)
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_1	-1564330.17	3128682.34	6693623.35	201131.12	0.5548,0.17,0.2708,0.7158,1.3406,4.063,0.1972,4.1427,2.7565,0.2583,0.3484
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_2	-3444892.11	6889806.22	179317423.99	166611.74	0.179,1.7991,0.2294,6.512,1.6994,0.7337,7.704,0.3995,0.1804,0.3818,1.9333
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_3	-5175086.79	10350195.58	1806391831.09	90021.65	0.1592,5.7645,2.8229,0.8594,1.0841,2.3558,0.2711,0.1622,1.3391,7.3355,5.0923
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_4	-777582.62	1555187.24	2145981.62	189629.48	0.1228,1.3111,6.4012,0.8426,0.4986,4.2636,3.0991,0.4254,0.2025,2.1305,0.2365
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_5	-685265.43	1370552.86	2094021.39	203451.39	3.8301,2.6911,1.1511,2.1049,0.3941,0.2562,0.2979,1.1144,1.2079,3.1903,0.3427
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_6	-9954405.64	19908833.28	11427346432222.04	223861.0	0.931,6.1694,3.9442,0.177,0.3933,0.1996,0.2108,0.3948,1.334,0.8893,2.4128
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_7	-1600162.31	3200346.62	11431862.91	44189.59	0.5284,0.8116,8.2006,6.3827,6.5642,4.8174,0.8592,0.2487,0.5169,2.6854,4.2676
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_8	-6378283.38	12756588.76	25041333496.54	94336.66	0.8776,1.74,0.2669,1.0775,2.5758,2.4672,0.4669,1.5043,2.7103,0.4151,4.3209
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_9	-1400770.24	2801562.48	5420993.77	195918.12	1.4887,0.1324,1.6632,1.9302,0.3319,3.164,0.3993,2.8113,0.3025,0.3603,0.7273
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_10	-3416673.84	6833369.68	6191679718136655.0	49319.76	2.8584,1.15,0.2565,3.7945,0.3406,1.3664,0.1736,5.433,6.6608,0.1509,6.9794
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_11	-1885127.86	3770277.72	14165835.75	217514.78	0.1263,0.1235,0.4332,0.487,3.8103,1.2081,0.2593,2.1316,0.1482,2.6715,0.6006
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_12	-3675435.8	7350893.6	205948421.74	192751.44	0.3123,0.511,0.937,0.2832,0.7112,2.1374,0.4604,0.2593,0.164,2.7036,1.3454
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_13	-6381286.1	12762594.2	12536816913.85	233872.34	2.4345,1.2219,0.1894,3.2745,0.5095,0.2923,4.2928,0.7569,2.7562,0.9576,2.1504
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_14	-2737757.77	5475537.54	69176630.65	129021.64	3.7855,1.1535,2.0849,4.2408,1.8617,0.6855,6.1269,1.0559,0.258,0.4851,3.0681
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_15	-3048312.74	6096647.48	92238438.77	306906.88	0.3716,2.0044,0.5551,0.9772,0.5324,0.4189,0.2135,3.8499,0.1316,0.1722,1.25
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_1	-1278468.29	2556958.58	5371105.04	424665.89	4.3936,2.8255,0.4177,2.8311,0.1455,0.1346,0.3575,2.239,0.5733,1.5989,0.2239
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_2	-1360025.61	2720073.22	4931478.88	225373.82	4.4067,4.2017,1.3506,4.614,0.1454,0.4352,0.4859,4.4195,4.0379,2.8607,0.5645
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_3	-754903.45	1509828.9	2441065.73	202923.93	1.142,2.6314,2.3156,1.2628,0.229,0.3213,0.0992,1.2314,0.5041,3.2423,0.3715
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_4	-280165.34	560352.68	626310.91	93124.59	1.1348,1.3342,4.2797,1.1235,0.2146,0.4725,0.2491,0.6339,2.8403,10.7806,0.1743
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_5	-694183.27	1388388.54	2246667.23	96380.16	3.1919,6.8976,4.18,7.177,0.624,0.093,0.4744,0.4585,0.9926,5.0444,0.4312
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_6	-1825547.78	3651117.56	13204529.91	218243.12	10.2294,1.5311,0.8642,1.682,1.0004,0.0893,0.2166,0.626,1.3816,10.5367,0.5021
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_7	-455094.29	910210.58	907316.78	154503.16	1.6909,3.715,3.8153,4.5931,0.1445,0.2642,0.1383,2.0999,0.8747,1.723,0.1515
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_8	-448300.39	896622.78	1181632.82	158437.88	8.5411,3.7959,3.7105,2.8027,0.5025,0.4026,0.163,2.524,0.5439,1.587,0.4394
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_9	-410411.22	820844.44	800293.36	181624.3	5.5176,10.3121,1.3648,0.6316,1.5487,0.6818,0.1163,1.6529,2.9387,4.4095,0.1008
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_10	-934175.35	1868372.7	2921326.07	214587.33	8.6842,3.818,1.2998,0.8552,0.1434,0.3266,0.1502,0.8776,2.0771,1.7346,0.249
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_11	-1713323.14	3426668.28	11228478.81	217490.05	9.3888,10.0873,0.5339,3.2916,0.5564,0.1536,0.327,0.5393,1.451,7.5676,0.5488
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_12	-765746.34	1531514.68	2309963.51	187315.54	1.9097,7.3134,4.2148,1.1112,0.1419,0.5324,0.5681,1.0862,1.7818,1.1686,0.3852
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_13	-578461.41	1156944.82	1569512.17	196453.44	2.3403,2.3405,1.0342,1.1933,0.3056,0.2908,0.4192,0.3412,0.5809,3.3766,0.1619
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_14	-3430699.55	6861421.1	134323655.82	388994.44	1.8548,0.8651,0.299,5.6352,0.2303,0.3489,0.5574,4.1288,0.3235,1.0455,0.9184
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_15	-853945.44	1707912.88	2704344.45	134156.68	9.8076,0.7208,4.6006,0.7574,0.7943,0.1019,0.3289,3.0005,0.35,2.7506,0.2596
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_16	-504980.86	1009983.72	1107160.47	191395.83	1.5989,4.4185,2.6056,1.4827,0.2413,0.9088,0.4913,0.5305,0.3463,0.8266,0.157
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_17	-1223154.96	2446331.92	4551975.38	192818.68	4.1305,0.7023,0.4651,2.1414,1.0936,0.3214,0.1782,0.3267,0.3853,2.5993,0.1629
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_18	-474530.83	949083.66	867709.71	128902.47	1.3775,0.9129,0.9058,2.5524,0.5385,0.8161,0.7678,0.7914,0.6496,8.5716,0.1055
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_19	-502137.03	1004296.06	1241060.09	182041.63	2.8143,1.0683,1.478,3.5545,0.3466,0.1807,0.2242,0.6209,0.418,1.473,0.1497
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_20	-892474.34	1784970.68	2147341.25	205786.69	6.4411,3.3477,0.6345,4.2981,0.1508,0.1333,0.2774,1.1212,2.6935,3.9479,0.0886
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_21	-731388.38	1462798.76	2279920.64	170179.73	1.8895,5.5849,4.2085,0.7555,0.2377,0.6208,0.5568,2.4193,0.609,3.1965,0.5067
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_22	-2328625.58	4657273.16	19079169.8	259894.85	9.5098,4.7118,0.6647,6.6828,0.1367,0.1906,0.6832,0.6107,0.353,2.0159,0.5737
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_23	-1921985.54	3843993.08	18216927.69	241603.69	8.1893,1.3929,0.7947,0.9397,0.664,0.5723,1.0267,1.6104,0.3105,1.0335,1.0167
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_24	-1014968.68	2029959.36	3706514.62	341186.06	4.7571,1.6061,0.5971,1.2477,0.2575,0.378,0.5694,2.6908,3.8702,4.0157,0.3379
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_25	-524832.33	1049686.66	1565210.85	137614.36	8.1905,0.7515,2.2385,4.3996,0.9072,0.1535,0.0956,0.9493,2.009,1.7621,0.3672
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_26	-1167451.81	2334925.62	5186660.38	218896.55	8.2545,3.2751,0.5359,3.0057,0.8928,0.1121,0.116,0.675,1.5419,0.8021,0.2833
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_27	-2743350.05	5486722.1	55492937.73	656500.24	3.9583,2.2358,0.3643,4.2417,0.1898,0.0869,0.1055,4.2543,0.3595,1.4321,0.5628
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_28	-2847050.63	5694123.26	44058898.67	215423.25	2.1278,1.1492,2.9502,1.529,0.2328,0.1765,0.2047,0.31,1.0033,3.1138,0.9919
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_29	-462259.63	924541.26	1096768.71	117937.5	2.8566,0.7104,1.8756,3.3747,1.473,0.6966,0.3423,1.6492,3.3358,9.7745,0.5752
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_30	-1245268.02	2490558.04	4606161.8	261832.43	5.092,4.2915,0.6317,1.9617,0.1762,0.3171,0.1285,0.9579,0.5386,1.8599,0.2048
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_1	-849653.28	1699328.56	2743032.83	53413.16	1.1366,1.4398,16.2408,0.7118,0.235,0.1795,0.2698,0.4176,9.4427,26.6963,0.1647
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_2	-551256.9	1102535.8	1666678.17	85958.13	2.0702,1.1176,14.8902,2.3321,0.0856,0.2697,0.1686,0.1704,0.965,6.1799,0.1925
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_3	-497772.91	995567.82	1222681.4	62517.69	1.3226,0.3336,11.126,2.4603,0.1519,0.7109,0.1888,0.1938,12.4898,5.3452,0.363
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_4	-386138.67	772299.34	1139562.07	70019.42	2.0537,4.5945,3.4977,3.1638,0.757,0.859,0.698,0.8487,2.8989,7.5789,0.182
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_5	-939570.94	1879163.88	3372345.01	187521.28	1.5478,2.9669,2.7082,1.2726,0.1956,0.4547,0.7995,0.2105,0.7435,28.3579,0.449
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_6	-263342.48	526706.96	585710.9	92163.29	0.8126,1.4523,2.0506,2.5688,0.4964,0.132,0.9904,0.3262,8.388,6.1938,0.0671
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_7	-404597.91	809217.82	1489770.08	66383.69	4.1582,3.6161,6.4904,2.617,0.5454,0.2524,0.9174,1.5492,2.7996,5.1266,0.136
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_8	-1683234.29	3366490.58	10619368.85	84001.8	0.493,1.3883,11.7326,0.4212,0.7327,0.4045,0.1858,0.5786,2.9632,6.1699,0.6007
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_9	-743299.53	1486621.06	2212827.41	190622.88	1.4443,1.5251,1.1456,1.7295,0.4481,0.6436,0.6553,1.8719,2.0193,4.585,0.5088
