Eucgr.L01219.1	ANN01213	95.210	167	8	0	220	386	951	785	5.70e-72	265
Eucgr.L01219.1	ANN01213	95.349	43	2	0	179	221	1181	1139	4.80e-13	69.4
Eucgr.L03568.1	ANN18820	98.069	466	9	0	1	466	477	12	0.0	811
Eucgr.L02233.1	ANN01072	86.702	188	25	0	11	198	918	731	1.31e-55	209
Eucgr.L02232.1	ANN01072	88.753	489	55	0	1	489	731	1219	1.34e-172	599
Eucgr.L02232.2	ANN01072	88.066	243	29	0	1	243	731	973	2.83e-79	289
Eucgr.L02232.2	ANN01072	92.268	194	15	0	230	423	1026	1219	2.21e-75	276
Eucgr.L02419.1	ANN09540	85.221	724	107	0	1	724	3440	2717	0.0	745
Eucgr.L02237.1	ANN11051	99.148	352	3	0	1	352	352	1	0.0	634
Eucgr.L02237.1	ANN11050	83.258	221	37	0	1	221	226	6	1.00e-53	204
Eucgr.L02238.1	ANN11051	84.419	353	53	2	1	352	352	1	1.58e-96	346
Eucgr.L02238.1	ANN11050	81.614	223	37	4	1	221	226	6	4.70e-47	182
Eucgr.L03388.1	ANN28608	96.853	699	20	2	357	1054	2120	2817	0.0	1168
Eucgr.L03388.1	ANN28608	100.000	300	0	0	1	300	1388	1687	6.87e-159	555
Eucgr.L03388.1	ANN28608	95.714	70	3	0	231	300	1922	1991	4.97e-26	113
Eucgr.L03388.1	ANN28608	94.286	70	4	0	231	300	1770	1839	2.31e-24	108
Eucgr.L03388.1	ANN28608	98.305	59	1	0	300	358	1782	1840	2.99e-23	104
Eucgr.L03388.2	ANN28608	97.015	737	20	2	53	788	2119	2854	0.0	1238
Eucgr.L03388.2	ANN28608	98.182	55	1	0	1	55	265	319	4.22e-21	97.1
Eucgr.E01188.1	ANN26464	96.847	222	7	0	103	324	225	4	2.76e-104	372
Eucgr.E01188.1	ANN26464	100.000	62	0	0	1	62	401	340	5.13e-27	115
Eucgr.E03621.1	ANN09540	82.143	84	15	0	1800	1883	1171	1088	1.81e-13	73.1
Eucgr.E01170.1	ANN26431	91.667	132	11	0	203	334	2129	1998	4.02e-47	183
Eucgr.E01170.1	ANN26431	90.441	136	12	1	502	636	1538	1403	1.87e-45	178
Eucgr.E01170.1	ANN26431	89.286	140	13	2	924	1062	403	265	2.42e-44	174
Eucgr.E01170.1	ANN26431	90.909	121	11	0	1	121	2721	2601	5.24e-41	163
Eucgr.E01170.2	ANN26431	91.667	132	11	0	203	334	2129	1998	4.02e-47	183
Eucgr.E01170.2	ANN26431	90.441	136	12	1	502	636	1538	1403	1.87e-45	178
Eucgr.E01170.2	ANN26431	89.286	140	13	2	924	1062	403	265	2.42e-44	174
Eucgr.E01170.2	ANN26431	90.909	121	11	0	1	121	2721	2601	5.24e-41	163
Eucgr.E01170.3	ANN26431	91.667	132	11	0	203	334	2129	1998	3.95e-47	183
Eucgr.E01170.3	ANN26431	90.441	136	12	1	502	636	1538	1403	1.84e-45	178
Eucgr.E01170.3	ANN26431	90.909	121	11	0	1	121	2721	2601	5.15e-41	163
Eucgr.E01170.3	ANN26431	85.714	140	18	2	924	1062	403	265	5.18e-36	147
Eucgr.E01170.4	ANN26431	91.176	136	11	1	502	636	1538	1403	3.95e-47	183
Eucgr.E01170.4	ANN26431	91.667	132	11	0	203	334	2129	1998	3.95e-47	183
Eucgr.E01170.4	ANN26431	90.909	121	11	0	1	121	2721	2601	5.15e-41	163
Eucgr.E01170.4	ANN26431	85.714	140	18	2	924	1062	403	265	5.18e-36	147
Eucgr.E01170.4	ANN26431	89.655	58	6	0	684	741	1122	1065	2.48e-14	75.0
Eucgr.E01170.5	ANN26431	91.667	132	11	0	203	334	2129	1998	3.95e-47	183
Eucgr.E01170.5	ANN26431	90.441	136	12	1	502	636	1538	1403	1.84e-45	178
Eucgr.E01170.5	ANN26431	89.286	140	13	2	924	1062	403	265	2.38e-44	174
Eucgr.E01170.5	ANN26431	90.909	121	11	0	1	121	2721	2601	5.15e-41	163
