pos	chr	cM
1673438	Chr08	0
2302015	Chr08	0
2807895	Chr08	0.111
4546454	Chr08	0.905
4547499	Chr08	3.482
4547502	Chr08	3.486
5119502	Chr08	3.922
8108382	Chr08	8.177
11682946	Chr08	27.766
15197149	Chr08	39.637
16373430	Chr08	41.554
16401102	Chr08	41.906
19356671	Chr08	48.876
19356675	Chr08	49.148
20972834	Chr08	52.363
24958718	Chr08	54.912
25784972	Chr08	56.414
27411840	Chr08	59.237
27412361	Chr08	59.27
29851530	Chr08	65.401
30886656	Chr08	66.251
30887044	Chr08	66.277
31756250	Chr08	67.589
33913024	Chr08	68.21
40415130	Chr08	73.927
40415902	Chr08	73.958
42099080	Chr08	76.489
42099563	Chr08	76.753
42526634	Chr08	77.587
44146901	Chr08	80.793
44185044	Chr08	80.996
47936614	Chr08	86.066
47937371	Chr08	86.53
48342268	Chr08	86.91
48342700	Chr08	86.915
48347169	Chr08	86.927
48562265	Chr08	87.416
48563249	Chr08	87.554
49477449	Chr08	88.204
50824721	Chr08	88.535
51878923	Chr08	90.691
53600786	Chr08	98.01
53601207	Chr08	98.031
55057236	Chr08	103.221
56172646	Chr08	105.221
56173052	Chr08	105.228
56681079	Chr08	106.871
57539380	Chr08	108.325
58105273	Chr08	110.195
58105912	Chr08	110.195
58765125	Chr08	112.042
58765957	Chr08	112.129
60309314	Chr08	115.312
64825371	Chr08	128.085
69454420	Chr08	130.216
