pos	chr	cM
1455795	Chr07	0
4679568	Chr07	2.096
10122947	Chr07	4.914
10123272	Chr07	4.923
10326060	Chr07	4.931
11218147	Chr07	5.788
11617612	Chr07	6.563
11893128	Chr07	6.843
12509413	Chr07	6.926
12510071	Chr07	6.932
15292445	Chr07	7.764
17783633	Chr07	8.307
17784060	Chr07	8.323
19115465	Chr07	8.333
19801760	Chr07	9.292
19922415	Chr07	9.371
21078496	Chr07	10.233
21595918	Chr07	11.423
31008877	Chr07	17.42
32025884	Chr07	18.887
32182124	Chr07	21.834
32183204	Chr07	21.843
32498486	Chr07	24.463
32510196	Chr07	24.968
38665719	Chr07	46.825
41944482	Chr07	47.785
44516336	Chr07	52.692
44673967	Chr07	58.923
45104967	Chr07	62.43
46388572	Chr07	65.435
46431211	Chr07	66.904
46664383	Chr07	67.791
46874066	Chr07	68.055
49515989	Chr07	77.443
52834026	Chr07	90.636
53303840	Chr07	91.316
53413080	Chr07	91.349
53511243	Chr07	91.723
