pos	chr	cM
1649633	Chr10	0
1650122	Chr10	0.004
1933937	Chr10	0.477
3820035	Chr10	1.803
5168142	Chr10	8.172
9003974	Chr10	26.955
9687081	Chr10	27.881
9687682	Chr10	27.891
10666679	Chr10	30.792
12232292	Chr10	35.438
12614275	Chr10	37.077
12730951	Chr10	37.768
12731839	Chr10	37.801
12936674	Chr10	38.586
23386018	Chr10	51.63
24934628	Chr10	58.785
26542654	Chr10	59.715
26542903	Chr10	61.016
26543109	Chr10	62.388
28272116	Chr10	72.337
28272226	Chr10	72.346
29119994	Chr10	76.297
29120353	Chr10	76.349
31332863	Chr10	78.839
32452004	Chr10	83.256
32452406	Chr10	83.256
32846099	Chr10	83.935
33151902	Chr10	83.935
33152523	Chr10	83.935
33323335	Chr10	83.935
33330669	Chr10	83.935
33330689	Chr10	83.935
33331023	Chr10	83.935
33331061	Chr10	83.935
33807122	Chr10	85.403
33845661	Chr10	85.438
37789944	Chr10	89.366
37790562	Chr10	89.508
38362178	Chr10	92.57
