pos	chr	cM
412956	Chr06	0
7019591	Chr06	18.161
8152218	Chr06	19.999
8248307	Chr06	20.208
9063710	Chr06	21.59
9064111	Chr06	21.597
9563814	Chr06	21.928
9683894	Chr06	21.933
10047682	Chr06	22.501
10111136	Chr06	22.52
10660992	Chr06	23.405
11117897	Chr06	25.074
11118391	Chr06	25.567
12459982	Chr06	31.783
12460661	Chr06	32.136
12791672	Chr06	32.334
15938891	Chr06	36.575
16610057	Chr06	41.185
16995070	Chr06	43.522
19244083	Chr06	49.12
20879132	Chr06	51.985
21957368	Chr06	54.108
27996711	Chr06	62.345
29349601	Chr06	66.427
29350095	Chr06	66.669
31443312	Chr06	71.359
31443899	Chr06	71.361
32793670	Chr06	71.362
34793897	Chr06	80.779
34794458	Chr06	80.971
35381676	Chr06	83.191
36926382	Chr06	90.71
37574380	Chr06	90.859
38509362	Chr06	96.041
38509541	Chr06	96.041
38510145	Chr06	96.041
38818372	Chr06	97.283
38919690	Chr06	97.605
39845294	Chr06	102.905
40356062	Chr06	103.547
40386693	Chr06	103.564
40965289	Chr06	104.106
41330253	Chr06	105.938
43120565	Chr06	115.225
43706460	Chr06	121.769
44481549	Chr06	124.059
45623150	Chr06	127.584
45623486	Chr06	127.685
47972111	Chr06	134.621
48454692	Chr06	135.473
48694843	Chr06	135.587
50452044	Chr06	137.686
51058582	Chr06	138.943
