pos	chr	cM
693344	Chr02	3.827
2815436	Chr02	6.01
3697117	Chr02	12.183
4117667	Chr02	12.819
4118427	Chr02	13.443
5766211	Chr02	16.237
5783721	Chr02	16.238
6585837	Chr02	20.621
6611522	Chr02	21.859
8010151	Chr02	31.347
8076275	Chr02	31.49
9327804	Chr02	32.439
9327811	Chr02	32.441
11361960	Chr02	37.121
11435954	Chr02	38.072
11589151	Chr02	39.394
12226705	Chr02	40.349
12244096	Chr02	40.376
12315509	Chr02	40.376
12696763	Chr02	41.791
15749471	Chr02	43.248
15750144	Chr02	43.412
17551419	Chr02	46.779
21937269	Chr02	48.728
22148355	Chr02	50.059
22169094	Chr02	50.424
22169903	Chr02	50.447
29870143	Chr02	53.348
29870149	Chr02	53.406
29870751	Chr02	53.533
32424203	Chr02	56.04
32486380	Chr02	56.752
32790536	Chr02	57.009
33278287	Chr02	58.802
33603264	Chr02	60.434
33637000	Chr02	60.434
33641749	Chr02	60.434
33642495	Chr02	60.434
34779360	Chr02	68.837
36031787	Chr02	70.542
36173774	Chr02	70.653
37744130	Chr02	79.961
38299539	Chr02	85.447
38300047	Chr02	85.605
39830383	Chr02	87.899
41429117	Chr02	94.138
42267711	Chr02	94.311
44080831	Chr02	101.036
44082098	Chr02	101.036
45614529	Chr02	107.99
45615192	Chr02	108.079
46822884	Chr02	112.4
48249874	Chr02	117.384
48777641	Chr02	118.488
49121417	Chr02	120.437
49121420	Chr02	120.437
