pos	chr	cM
2527104	Chr04	0.104
3113617	Chr04	7.989
3200770	Chr04	7.991
3200771	Chr04	7.992
3201709	Chr04	7.992
8550186	Chr04	12.4
10751907	Chr04	13.155
10805595	Chr04	13.174
10943034	Chr04	13.792
11562429	Chr04	14.691
12839140	Chr04	19.605
14052277	Chr04	20.414
15968867	Chr04	22.976
23619900	Chr04	33.468
24372741	Chr04	34.016
24372751	Chr04	34.016
25270367	Chr04	34.678
25554989	Chr04	34.678
25555470	Chr04	34.678
27262145	Chr04	35.853
29140082	Chr04	48.35
29360247	Chr04	49.832
30763505	Chr04	54.249
32464493	Chr04	59.692
32465020	Chr04	59.702
32477704	Chr04	59.953
33565761	Chr04	66.909
36002194	Chr04	70.21
37505664	Chr04	77.587
38244750	Chr04	79.027
