pos	chr	cM
2372265	Chr11	1.734
2821441	Chr11	2.126
2822335	Chr11	2.137
5329361	Chr11	6.624
5388075	Chr11	12.352
9187696	Chr11	14.292
11783875	Chr11	16.197
11784208	Chr11	16.324
12120427	Chr11	21.016
14458799	Chr11	27.94
15195810	Chr11	30.864
15196402	Chr11	31.329
17834434	Chr11	43.102
20266191	Chr11	47.704
20505475	Chr11	47.95
24467603	Chr11	53.202
29568949	Chr11	66.68
38779924	Chr11	98.086
38780882	Chr11	98.716
39107101	Chr11	99.393
39517759	Chr11	100.245
39986902	Chr11	101.667
41872470	Chr11	103.065
41878613	Chr11	103.069
41879432	Chr11	103.07
