pos	chr	cM
969243	Chr05	0
2372669	Chr05	1.42
2456907	Chr05	2.015
2457490	Chr05	2.015
2959778	Chr05	3.382
3884965	Chr05	6.193
8423929	Chr05	23.986
8424183	Chr05	23.99
8424546	Chr05	23.992
8473444	Chr05	28.818
10975827	Chr05	34.453
13419053	Chr05	40.314
14934918	Chr05	42.652
20334985	Chr05	48.022
20335307	Chr05	48.634
20805119	Chr05	48.905
20805615	Chr05	48.905
21475901	Chr05	50.429
21476375	Chr05	50.435
23814676	Chr05	51.1
23814687	Chr05	51.113
28402325	Chr05	57.561
29732619	Chr05	60.493
32352334	Chr05	62.454
32353073	Chr05	62.849
34939241	Chr05	64.193
34939701	Chr05	64.401
36531808	Chr05	64.791
38500452	Chr05	66.868
42416877	Chr05	72.318
42564789	Chr05	72.7
42565430	Chr05	72.747
43137766	Chr05	72.78
43476757	Chr05	75.125
45267133	Chr05	79.363
45267753	Chr05	79.4
45741470	Chr05	79.591
46553674	Chr05	79.591
47022210	Chr05	84.605
49253526	Chr05	86.031
51382678	Chr05	90.418
51382801	Chr05	90.418
51383393	Chr05	90.418
56165937	Chr05	93.368
56167825	Chr05	93.456
56174792	Chr05	93.456
57216860	Chr05	94.343
57897924	Chr05	98.244
59906624	Chr05	101.485
59907210	Chr05	101.485
59907215	Chr05	101.485
