pos	chr	cM
3524272	Chr03	0
3592103	Chr03	0.582
4676539	Chr03	3.077
4676540	Chr03	3.159
6455503	Chr03	6.878
6543034	Chr03	7.947
7924276	Chr03	14.81
11690651	Chr03	28.837
12999017	Chr03	34.355
12999021	Chr03	34.356
14315714	Chr03	37.124
14582592	Chr03	37.495
14868206	Chr03	37.516
15930501	Chr03	39.261
16031821	Chr03	39.292
16943358	Chr03	39.84
21768200	Chr03	40.027
24317348	Chr03	50.069
24317774	Chr03	50.072
24493888	Chr03	50.078
25135829	Chr03	50.08
27630750	Chr03	50.139
27946089	Chr03	50.273
31557967	Chr03	53.64
31557970	Chr03	53.655
33879895	Chr03	53.668
36858704	Chr03	59.762
40016489	Chr03	60.036
40988989	Chr03	60.883
40989489	Chr03	61.123
41368950	Chr03	62.865
46910203	Chr03	68.434
47012152	Chr03	70.835
50115866	Chr03	75.06
51073782	Chr03	75.672
51125986	Chr03	75.687
52366080	Chr03	83.395
53076215	Chr03	86.763
57618023	Chr03	89.41
58936877	Chr03	94.106
63948277	Chr03	99.813
64349984	Chr03	101.226
