Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, T3)
sec_contact_asym_mig_three_epoch	Round_1_Replicate_1	-157845.14	315704.28	546342.67	14476.2	0.6109,5.2111,1.5238,4.5806,0.3102,0.3716,2.7133
sec_contact_asym_mig_three_epoch	Round_1_Replicate_2	-155546.78	311107.56	913486.44	11220.71	3.4182,0.3646,0.3418,3.7285,0.8978,0.3481,1.4861
sec_contact_asym_mig_three_epoch	Round_1_Replicate_3	-664027.34	1328068.68	973255863.57	15967.36	1.6671,0.2524,2.462,0.1668,5.3817,1.4852,0.1882
sec_contact_asym_mig_three_epoch	Round_1_Replicate_4	-387027.7	774069.4	13643362.9	6177.75	1.4876,3.0338,0.1201,0.1705,2.7438,3.0399,1.6521
sec_contact_asym_mig_three_epoch	Round_1_Replicate_5	-1106045.67	2212105.34	428341705399.37	14304.22	0.6302,0.5358,4.0104,4.5604,2.5908,4.1882,0.877
sec_contact_asym_mig_three_epoch	Round_1_Replicate_6	-456624.62	913263.24	21268438.14	10083.76	0.3868,1.0295,0.2549,0.3493,8.271,1.0449,0.5937
sec_contact_asym_mig_three_epoch	Round_1_Replicate_7	-198658.61	397331.22	2717586.7	3745.26	5.5357,7.1868,0.4312,0.3649,5.052,0.1507,5.5153
sec_contact_asym_mig_three_epoch	Round_1_Replicate_8	-1647145.82	3294305.64	3987076030032248.5	25094.24	0.2149,0.3023,2.2062,0.1839,0.1852,2.8081,0.1368
sec_contact_asym_mig_three_epoch	Round_1_Replicate_9	-145018.15	290050.3	480476.36	16584.03	0.6533,2.877,0.1951,2.9642,0.2949,0.2594,0.6215
sec_contact_asym_mig_three_epoch	Round_1_Replicate_10	-705724.68	1411463.36	700303892.31	23106.53	0.2252,0.8179,1.7949,0.1453,0.19,1.3162,1.5543
sec_contact_asym_mig_three_epoch	Round_2_Replicate_1	-97066.04	194146.08	278194.25	17236.67	0.927,1.6573,0.3051,8.1992,0.7928,0.1729,0.1829
sec_contact_asym_mig_three_epoch	Round_2_Replicate_2	-111272.98	222559.96	322904.94	14755.27	1.0976,4.2517,0.1408,6.1322,0.0683,0.3121,0.1995
sec_contact_asym_mig_three_epoch	Round_2_Replicate_3	-263152.72	526319.44	2310277.27	12337.31	0.5811,4.073,0.4169,1.0362,0.1176,0.7108,0.3744
sec_contact_asym_mig_three_epoch	Round_2_Replicate_4	-181870.11	363754.22	683414.86	16657.85	0.3783,8.8136,0.4925,3.16,0.4153,0.0634,1.1283
sec_contact_asym_mig_three_epoch	Round_2_Replicate_5	-268358.34	536730.68	1986639.92	20694.77	0.2164,2.8616,0.109,3.5751,0.481,0.0879,1.6963
sec_contact_asym_mig_three_epoch	Round_2_Replicate_6	-382911.42	765836.84	9779059.08	14501.53	0.2388,5.3331,0.0565,1.0718,0.8272,0.1039,1.1885
sec_contact_asym_mig_three_epoch	Round_2_Replicate_7	-567340.41	1134694.82	88551003.35	16604.18	0.2107,5.3435,0.2086,4.3683,0.3032,0.8337,0.2317
sec_contact_asym_mig_three_epoch	Round_2_Replicate_8	-157758.7	315531.4	741745.06	19328.39	0.7621,1.1291,0.3071,5.386,0.3567,0.5005,2.002
sec_contact_asym_mig_three_epoch	Round_2_Replicate_9	-213929.06	427872.12	971218.69	17050.18	0.3213,11.1119,0.0902,6.7875,0.5155,0.0676,2.153
sec_contact_asym_mig_three_epoch	Round_2_Replicate_10	-112404.33	224822.66	414523.15	15835.58	1.254,0.9311,0.3333,2.1417,0.807,0.1846,0.183
sec_contact_asym_mig_three_epoch	Round_2_Replicate_11	-99968.4	199950.8	331589.04	13910.3	2.3088,0.967,0.1949,11.4281,0.1624,0.3603,1.2586
sec_contact_asym_mig_three_epoch	Round_2_Replicate_12	-151312.99	302639.98	531328.75	23365.93	0.4136,1.4886,0.1153,4.9909,0.1021,0.2466,2.2923
sec_contact_asym_mig_three_epoch	Round_2_Replicate_13	-173159.81	346333.62	754535.91	16542.15	0.6658,2.7067,0.0799,4.8173,0.4372,0.4533,0.1665
sec_contact_asym_mig_three_epoch	Round_2_Replicate_14	-110977.8	221969.6	317687.19	22309.15	0.537,1.2844,0.3504,1.4914,0.1401,0.1327,0.3271
sec_contact_asym_mig_three_epoch	Round_2_Replicate_15	-240102.38	480218.76	1539504.78	13137.38	0.4629,8.0734,0.0627,1.0391,0.5957,0.1574,1.1508
sec_contact_asym_mig_three_epoch	Round_2_Replicate_16	-113016.34	226046.68	427438.11	13214.91	1.7011,1.3993,0.509,1.2113,0.6503,0.2293,0.2631
sec_contact_asym_mig_three_epoch	Round_2_Replicate_17	-106787.91	213589.82	324727.57	13496.01	1.4378,2.2163,0.251,8.5069,0.5058,0.4518,0.1558
sec_contact_asym_mig_three_epoch	Round_2_Replicate_18	-92543.71	185101.42	280978.94	16009.63	1.6601,1.0718,0.2302,4.289,0.1651,0.243,0.4201
sec_contact_asym_mig_three_epoch	Round_2_Replicate_19	-144095.12	288204.24	531003.88	10759.7	1.3999,5.0422,0.3154,1.4972,0.1776,0.4898,1.0374
sec_contact_asym_mig_three_epoch	Round_2_Replicate_20	-444955.74	889925.48	27842144.45	34785.47	0.2442,0.8381,0.0956,9.3935,0.4661,0.73,0.1946
sec_contact_asym_mig_three_epoch	Round_3_Replicate_1	-96106.97	192227.94	246845.98	20172.8	0.6318,3.026,0.0765,2.2389,0.063,0.1172,1.1774
sec_contact_asym_mig_three_epoch	Round_3_Replicate_2	-73270.59	146555.18	363523.64	18980.73	1.532,1.1613,0.0968,19.502,0.0555,0.1446,1.2252
sec_contact_asym_mig_three_epoch	Round_3_Replicate_3	-83567.38	167148.76	288866.38	15942.4	2.1594,1.0391,0.4445,4.1981,0.2113,0.1253,0.1619
sec_contact_asym_mig_three_epoch	Round_3_Replicate_4	-73572.26	147158.52	172006.05	26368.26	0.4838,0.8065,0.1155,1.3675,0.0966,0.0477,0.5027
sec_contact_asym_mig_three_epoch	Round_3_Replicate_5	-97006.01	194026.02	294209.0	18946.65	1.0856,0.9772,0.1584,12.6913,0.3389,0.3257,0.8822
sec_contact_asym_mig_three_epoch	Round_3_Replicate_6	-62789.98	125593.96	183019.05	23632.79	0.7896,0.8866,0.8271,4.1635,0.0573,0.0716,1.5533
sec_contact_asym_mig_three_epoch	Round_3_Replicate_7	-154819.68	309653.36	909825.58	19208.35	1.3141,0.3917,0.1741,14.7507,0.3626,0.4577,0.1236
sec_contact_asym_mig_three_epoch	Round_3_Replicate_8	-109405.46	218824.92	1402833.0	13512.23	4.1882,2.6714,0.2907,1.5832,0.1068,0.1258,0.5876
sec_contact_asym_mig_three_epoch	Round_3_Replicate_9	-148069.63	296153.26	766952.91	17281.14	1.2745,0.7135,0.2462,13.7118,0.221,0.5947,0.2408
sec_contact_asym_mig_three_epoch	Round_3_Replicate_10	-97766.93	195547.86	290729.45	16393.55	1.149,1.4334,0.6425,2.5474,0.3389,0.2013,0.3804
sec_contact_asym_mig_three_epoch	Round_3_Replicate_11	-120496.74	241007.48	444966.77	11034.01	3.2667,1.8532,0.1464,1.8229,0.0425,0.4103,0.2617
sec_contact_asym_mig_three_epoch	Round_3_Replicate_12	-107954.98	215923.96	1109573.75	12083.64	3.8397,1.942,0.1518,5.3943,0.3482,0.1152,1.5289
sec_contact_asym_mig_three_epoch	Round_3_Replicate_13	-85899.17	171812.34	416531.18	15622.61	3.0994,0.8617,0.2195,7.7015,0.165,0.1081,0.1829
sec_contact_asym_mig_three_epoch	Round_3_Replicate_14	-104939.66	209893.32	373590.11	12908.76	2.5907,0.7977,0.0732,18.5611,0.3897,0.4069,0.2507
sec_contact_asym_mig_three_epoch	Round_3_Replicate_15	-109134.4	218282.8	1058648.63	12105.19	4.6257,1.7059,0.0658,9.8952,0.1341,0.2018,1.0671
sec_contact_asym_mig_three_epoch	Round_3_Replicate_16	-132118.07	264250.14	567972.46	12772.89	4.4806,0.4122,0.4507,15.9871,0.0943,0.3009,0.3318
sec_contact_asym_mig_three_epoch	Round_3_Replicate_17	-83616.75	167247.5	893263.67	18042.85	1.782,1.7924,0.6033,6.8346,0.0572,0.1027,0.3841
sec_contact_asym_mig_three_epoch	Round_3_Replicate_18	-105509.82	211033.64	1114291.87	13474.36	3.2173,2.7671,0.2185,4.5081,0.0337,0.1929,0.0979
sec_contact_asym_mig_three_epoch	Round_3_Replicate_19	-228739.43	457492.86	2362744.66	20524.84	0.8871,0.5977,0.7248,18.618,0.0668,0.8375,0.2263
sec_contact_asym_mig_three_epoch	Round_3_Replicate_20	-156802.55	313619.1	886679.03	13611.28	1.8382,0.8477,0.3551,8.7882,0.0919,0.7344,0.978
sec_contact_asym_mig_three_epoch	Round_3_Replicate_21	-201852.85	403719.7	1741494.74	13309.44	1.8526,0.7472,0.4452,1.0788,0.0924,0.7574,0.4334
sec_contact_asym_mig_three_epoch	Round_3_Replicate_22	-168127.02	336268.04	742816.64	15192.05	0.8109,3.2399,0.2139,11.5099,0.3059,0.6322,0.4267
sec_contact_asym_mig_three_epoch	Round_3_Replicate_23	-225020.01	450054.02	1832849.99	23235.28	0.509,0.7521,0.1264,1.1012,0.2111,0.4049,0.108
sec_contact_asym_mig_three_epoch	Round_3_Replicate_24	-106140.1	212294.2	285641.22	23914.13	0.4608,1.2429,0.0993,1.1068,0.1022,0.1024,0.6722
sec_contact_asym_mig_three_epoch	Round_3_Replicate_25	-95906.65	191827.3	323835.81	11996.88	2.5721,1.2732,0.2378,4.573,0.5611,0.2682,0.4409
sec_contact_asym_mig_three_epoch	Round_3_Replicate_26	-130583.13	261180.26	607465.65	17217.09	1.4437,0.4943,0.289,8.1239,0.6397,0.4127,0.1367
sec_contact_asym_mig_three_epoch	Round_3_Replicate_27	-80738.08	161490.16	237097.02	16601.18	1.4651,1.2629,0.262,13.8491,0.3426,0.244,0.3047
sec_contact_asym_mig_three_epoch	Round_3_Replicate_28	-76344.58	152703.16	175539.66	26352.19	0.4427,0.9201,0.1874,1.1419,0.042,0.0724,0.5893
sec_contact_asym_mig_three_epoch	Round_3_Replicate_29	-134442.19	268898.38	585352.24	9069.92	3.7261,1.5202,0.2402,3.5204,0.2772,0.6711,0.3679
sec_contact_asym_mig_three_epoch	Round_3_Replicate_30	-66097.2	132208.4	191240.09	18474.53	1.6448,0.3459,0.2555,17.1023,0.5969,0.0934,0.148
sec_contact_asym_mig_three_epoch	Round_4_Replicate_1	-71191.59	142397.18	475513.97	20468.78	1.4278,1.1725,0.5164,5.9476,0.0434,0.08,2.7476
sec_contact_asym_mig_three_epoch	Round_4_Replicate_2	-63915.64	127845.28	471229.04	24071.87	0.7658,1.3105,1.1256,3.9889,0.0324,0.0456,0.8762
sec_contact_asym_mig_three_epoch	Round_4_Replicate_3	-56004.57	112023.14	280580.88	24336.87	1.0181,0.6313,0.7567,4.7539,0.0351,0.0439,1.3097
sec_contact_asym_mig_three_epoch	Round_4_Replicate_4	-54455.82	108925.64	217754.86	26233.63	0.6446,0.6784,0.6601,5.7684,0.061,0.0293,1.4642
sec_contact_asym_mig_three_epoch	Round_4_Replicate_5	-55681.81	111377.62	249702.95	24882.29	0.8443,0.6967,0.6137,4.4983,0.0375,0.0438,1.4393
sec_contact_asym_mig_three_epoch	Round_4_Replicate_6	-62830.84	125675.68	361615.35	24655.24	0.6604,1.2668,1.1704,4.4215,0.0484,0.0391,0.955
sec_contact_asym_mig_three_epoch	Round_4_Replicate_7	-48933.96	97881.92	160440.11	27359.52	0.5956,0.5141,0.911,2.1573,0.0354,0.0308,2.3608
sec_contact_asym_mig_three_epoch	Round_4_Replicate_8	-66921.0	133856.0	359978.0	21548.22	1.1737,1.1192,0.9043,4.1973,0.0522,0.067,3.0054
sec_contact_asym_mig_three_epoch	Round_4_Replicate_9	-76570.48	153154.96	197762.36	23591.18	0.5679,1.447,0.9252,6.7256,0.0473,0.1024,2.0324
sec_contact_asym_mig_three_epoch	Round_4_Replicate_10	-65308.3	130630.6	348494.99	21725.23	1.2115,0.9372,0.9516,6.5883,0.0496,0.0714,0.9135
sec_contact_asym_mig_three_epoch	Round_4_Replicate_11	-56856.28	113726.56	174675.02	26427.38	0.5593,0.7594,0.8895,4.4553,0.0681,0.0329,1.2398
sec_contact_asym_mig_three_epoch	Round_4_Replicate_12	-61785.72	123585.44	145755.38	26757.9	0.5538,0.6126,1.286,4.6249,0.0368,0.079,0.7905
sec_contact_asym_mig_three_epoch	Round_4_Replicate_13	-63842.44	127698.88	241431.62	22381.38	0.9969,0.9595,0.8902,5.0137,0.0464,0.0765,1.0063
sec_contact_asym_mig_three_epoch	Round_4_Replicate_14	-54717.66	109449.32	198310.64	24918.92	0.857,0.6237,0.6569,4.6466,0.0282,0.0533,0.8321
sec_contact_asym_mig_three_epoch	Round_4_Replicate_15	-57678.39	115370.78	196422.29	23176.19	1.3802,0.4904,0.5913,3.7506,0.0761,0.0345,0.893
sec_contact_asym_mig_three_epoch	Round_4_Replicate_16	-52536.46	105086.92	167377.82	25129.78	0.9322,0.5013,0.9411,2.1401,0.0476,0.0385,1.1772
sec_contact_asym_mig_three_epoch	Round_4_Replicate_17	-62211.2	124436.4	159210.38	25811.79	0.5531,0.8699,0.4843,2.6048,0.0825,0.0372,1.46
sec_contact_asym_mig_three_epoch	Round_4_Replicate_18	-63777.62	127569.24	318613.76	26005.7	0.5305,1.1231,0.8586,9.647,0.0597,0.0389,1.8535
sec_contact_asym_mig_three_epoch	Round_4_Replicate_19	-56143.42	112300.84	159863.45	25563.11	0.6804,0.6662,1.3158,4.4759,0.0504,0.0552,1.2785
sec_contact_asym_mig_three_epoch	Round_4_Replicate_20	-56347.9	112709.8	144360.87	27591.84	0.5073,0.6197,0.603,6.7147,0.0332,0.0562,0.9132
sec_contact_asym_mig_three_epoch	Round_4_Replicate_21	-77885.89	155785.78	201046.46	23685.12	0.5181,1.7434,0.7734,4.2628,0.0419,0.084,0.9286
sec_contact_asym_mig_three_epoch	Round_4_Replicate_22	-61857.75	123729.5	203022.24	22061.17	1.3503,0.6625,1.0763,2.7905,0.032,0.0748,1.9331
sec_contact_asym_mig_three_epoch	Round_4_Replicate_23	-63482.8	126979.6	489075.83	25275.74	0.586,1.5383,1.1369,2.8366,0.0489,0.0246,2.5022
sec_contact_asym_mig_three_epoch	Round_4_Replicate_24	-74006.4	148026.8	632915.2	20666.74	1.3015,1.7573,0.4991,2.1532,0.0275,0.0718,2.4215
sec_contact_asym_mig_three_epoch	Round_4_Replicate_25	-60776.88	121567.76	251161.84	22359.99	1.4229,0.6337,0.7243,4.5271,0.0305,0.0635,0.8549
sec_contact_asym_mig_three_epoch	Round_4_Replicate_26	-48342.61	96699.22	251950.13	26809.17	0.776,0.4302,0.6145,3.4752,0.024,0.0267,1.8808
sec_contact_asym_mig_three_epoch	Round_4_Replicate_27	-66197.62	132409.24	438123.38	22349.28	1.0352,1.202,1.1183,4.3411,0.0475,0.0569,2.1556
sec_contact_asym_mig_three_epoch	Round_4_Replicate_28	-60897.96	121809.92	184096.15	22474.66	1.3238,0.5525,0.4491,4.196,0.0504,0.0676,1.5867
sec_contact_asym_mig_three_epoch	Round_4_Replicate_29	-54001.31	108016.62	128170.76	28239.44	0.5023,0.4919,0.6421,2.4503,0.0292,0.0493,1.4059
sec_contact_asym_mig_three_epoch	Round_4_Replicate_30	-58503.03	117020.06	360551.83	25300.78	0.6747,0.9828,1.6553,3.7701,0.0356,0.037,1.0613
sec_contact_asym_mig_three_epoch	Round_4_Replicate_31	-52631.68	105277.36	164465.25	25898.3	0.732,0.5754,0.8752,2.8233,0.0566,0.0347,1.1177
sec_contact_asym_mig_three_epoch	Round_4_Replicate_32	-64629.49	129272.98	625577.24	25758.3	0.5491,1.5542,1.2104,6.425,0.018,0.0376,1.9051
sec_contact_asym_mig_three_epoch	Round_4_Replicate_33	-50880.63	101775.26	193050.72	25822.33	0.8654,0.4687,0.4962,4.6162,0.0577,0.0256,2.5329
sec_contact_asym_mig_three_epoch	Round_4_Replicate_34	-54070.29	108154.58	276788.65	24678.37	1.0685,0.5041,1.2875,6.6774,0.0578,0.0294,0.9004
sec_contact_asym_mig_three_epoch	Round_4_Replicate_35	-57901.43	115816.86	189038.27	25689.91	0.5938,0.9026,1.0181,2.8173,0.0294,0.0504,1.0181
sec_contact_asym_mig_three_epoch	Round_4_Replicate_36	-57429.02	114872.04	160639.05	24028.21	1.0248,0.5191,0.61,3.7038,0.0469,0.0619,2.317
sec_contact_asym_mig_three_epoch	Round_4_Replicate_37	-60698.9	121411.8	164802.4	23510.9	0.9954,0.5749,0.5247,6.698,0.0313,0.0924,1.3916
sec_contact_asym_mig_three_epoch	Round_4_Replicate_38	-69705.05	139424.1	700494.95	21793.15	1.2809,1.2767,0.8304,3.1692,0.0473,0.0491,2.1193
sec_contact_asym_mig_three_epoch	Round_4_Replicate_39	-53067.28	106148.56	196769.0	24402.22	1.2416,0.3985,1.6655,5.9092,0.0694,0.0267,1.5764
sec_contact_asym_mig_three_epoch	Round_4_Replicate_40	-61826.21	123666.42	142506.26	27660.44	0.4659,0.6474,0.4368,2.5259,0.0588,0.0469,0.8447
