Chr Start End
Chr01 495000 499999
Chr01 505000 509999
Chr01 925000 929999
Chr01 1450000 1454999
Chr01 1745000 1749999
Chr01 1750000 1754999
Chr01 2225000 2229999
Chr01 2455000 2459999
Chr01 2895000 2899999
Chr01 3745000 3749999
Chr01 3795000 3799999
Chr01 4215000 4219999
Chr01 4335000 4339999
Chr01 5620000 5624999
Chr01 5965000 5969999
Chr01 7115000 7119999
Chr01 8345000 8349999
Chr01 8395000 8399999
Chr01 8420000 8424999
Chr01 8725000 8729999
Chr01 8770000 8774999
Chr01 8860000 8864999
Chr01 8885000 8889999
Chr01 8905000 8909999
Chr01 9225000 9229999
Chr01 9490000 9494999
Chr01 9750000 9754999
Chr01 10955000 10959999
Chr01 10965000 10969999
Chr01 10970000 10974999
Chr01 10975000 10979999
Chr01 11085000 11089999
Chr01 11095000 11099999
Chr01 11130000 11134999
Chr01 11400000 11404999
Chr01 11410000 11414999
Chr01 11745000 11749999
Chr01 11940000 11944999
Chr01 11960000 11964999
Chr01 12000000 12004999
Chr01 12110000 12114999
Chr01 12360000 12364999
Chr01 12520000 12524999
Chr01 12555000 12559999
Chr01 12560000 12564999
Chr01 13055000 13059999
Chr01 13230000 13234999
Chr01 13310000 13314999
Chr01 13375000 13379999
Chr01 13825000 13829999
Chr01 13895000 13899999
Chr01 13950000 13954999
Chr01 14085000 14089999
Chr01 14120000 14124999
Chr01 14175000 14179999
Chr01 14495000 14499999
Chr01 14530000 14534999
Chr01 14545000 14549999
Chr01 15190000 15194999
Chr01 15310000 15314999
Chr01 15315000 15319999
Chr01 15320000 15324999
Chr01 15615000 15619999
Chr01 15775000 15779999
Chr01 15790000 15794999
Chr01 15890000 15894999
Chr01 16305000 16309999
Chr01 16320000 16324999
Chr01 16395000 16399999
Chr01 16400000 16404999
Chr01 16450000 16454999
Chr01 16455000 16459999
Chr01 16485000 16489999
Chr01 16500000 16504999
Chr01 16550000 16554999
Chr01 16560000 16564999
Chr01 16715000 16719999
Chr01 16725000 16729999
Chr01 16870000 16874999
Chr01 16935000 16939999
Chr01 16940000 16944999
Chr01 16970000 16974999
Chr01 16975000 16979999
Chr01 16980000 16984999
Chr01 16990000 16994999
Chr01 17005000 17009999
Chr01 17095000 17099999
Chr01 17115000 17119999
Chr01 17120000 17124999
Chr01 17195000 17199999
Chr01 17210000 17214999
Chr01 17295000 17299999
Chr01 17325000 17329999
Chr01 17375000 17379999
Chr01 17425000 17429999
Chr01 17475000 17479999
Chr01 17480000 17484999
Chr01 17485000 17489999
Chr01 17495000 17499999
Chr01 17560000 17564999
Chr01 17570000 17574999
Chr01 17610000 17614999
Chr01 17635000 17639999
Chr01 17640000 17644999
Chr01 17675000 17679999
Chr01 17695000 17699999
Chr01 17710000 17714999
Chr01 17750000 17754999
Chr01 17855000 17859999
Chr01 17870000 17874999
Chr01 18050000 18054999
Chr01 18055000 18059999
Chr01 18070000 18074999
Chr01 18170000 18174999
Chr01 18240000 18244999
Chr01 18255000 18259999
Chr01 18305000 18309999
Chr01 18330000 18334999
Chr01 18510000 18514999
Chr01 18560000 18564999
Chr01 18610000 18614999
Chr01 19360000 19364999
Chr01 19400000 19404999
Chr01 19460000 19464999
Chr01 19475000 19479999
Chr01 19605000 19609999
Chr01 19610000 19614999
Chr01 19660000 19664999
Chr01 19750000 19754999
Chr01 19905000 19909999
Chr01 20000000 20004999
Chr01 20165000 20169999
Chr01 20200000 20204999
Chr01 20355000 20359999
Chr01 21475000 21479999
Chr01 22260000 22264999
Chr01 22450000 22454999
Chr01 22555000 22559999
Chr01 22580000 22584999
Chr01 22940000 22944999
Chr01 23125000 23129999
Chr01 23190000 23194999
Chr01 23225000 23229999
Chr01 23295000 23299999
Chr01 23305000 23309999
Chr01 23345000 23349999
Chr01 23365000 23369999
Chr01 23440000 23444999
Chr01 23470000 23474999
Chr01 23475000 23479999
Chr01 23485000 23489999
Chr01 23570000 23574999
Chr01 23735000 23739999
Chr01 23750000 23754999
Chr01 23770000 23774999
Chr01 23775000 23779999
Chr01 23840000 23844999
Chr01 23845000 23849999
Chr01 23930000 23934999
Chr01 23950000 23954999
Chr01 23960000 23964999
Chr01 23965000 23969999
Chr01 23975000 23979999
Chr01 24150000 24154999
Chr01 24210000 24214999
Chr01 24240000 24244999
Chr01 24245000 24249999
Chr01 24255000 24259999
Chr01 24260000 24264999
Chr01 24290000 24294999
Chr01 24340000 24344999
Chr01 24430000 24434999
Chr01 24435000 24439999
Chr01 24480000 24484999
Chr01 24500000 24504999
Chr01 24550000 24554999
Chr01 24685000 24689999
Chr01 24725000 24729999
Chr01 24730000 24734999
Chr01 24760000 24764999
Chr01 24805000 24809999
Chr01 24810000 24814999
Chr01 24815000 24819999
Chr01 24860000 24864999
Chr01 24875000 24879999
Chr01 24975000 24979999
Chr01 24995000 24999999
Chr01 25050000 25054999
Chr01 25105000 25109999
Chr01 25140000 25144999
Chr01 25230000 25234999
Chr01 25265000 25269999
Chr01 25300000 25304999
Chr01 25345000 25349999
Chr01 25375000 25379999
Chr01 25650000 25654999
Chr01 25720000 25724999
Chr01 25755000 25759999
Chr01 26115000 26119999
Chr01 26125000 26129999
Chr01 26130000 26134999
Chr01 26145000 26149999
Chr01 26165000 26169999
Chr01 26185000 26189999
Chr01 26285000 26289999
Chr01 26350000 26354999
Chr01 26375000 26379999
Chr01 26385000 26389999
Chr01 26435000 26439999
Chr01 26450000 26454999
Chr01 26495000 26499999
Chr01 26500000 26504999
Chr01 26520000 26524999
Chr01 26575000 26579999
Chr01 26595000 26599999
Chr01 26625000 26629999
Chr01 26630000 26634999
Chr01 26635000 26639999
Chr01 26640000 26644999
Chr01 26680000 26684999
Chr01 26695000 26699999
Chr01 26750000 26754999
Chr01 26915000 26919999
Chr01 26920000 26924999
Chr01 26950000 26954999
Chr01 26955000 26959999
Chr01 26960000 26964999
Chr01 26965000 26969999
Chr01 26970000 26974999
Chr01 26980000 26984999
Chr01 26985000 26989999
Chr01 26990000 26994999
Chr01 27005000 27009999
Chr01 27015000 27019999
Chr01 27025000 27029999
Chr01 27055000 27059999
Chr01 27060000 27064999
Chr01 27065000 27069999
Chr01 27150000 27154999
Chr01 27205000 27209999
Chr01 27465000 27469999
Chr01 27510000 27514999
Chr01 27525000 27529999
Chr01 27670000 27674999
Chr01 27695000 27699999
Chr01 27700000 27704999
Chr01 27765000 27769999
Chr01 28310000 28314999
Chr01 28315000 28319999
Chr01 28335000 28339999
Chr01 28435000 28439999
Chr01 28450000 28454999
Chr01 28455000 28459999
Chr01 28520000 28524999
Chr01 28665000 28669999
Chr01 28745000 28749999
Chr01 28750000 28754999
Chr01 29360000 29364999
Chr01 29380000 29384999
Chr01 29680000 29684999
Chr01 29820000 29824999
Chr01 29920000 29924999
Chr01 29990000 29994999
Chr01 30030000 30034999
Chr01 30225000 30229999
Chr01 30690000 30694999
Chr01 30705000 30709999
Chr01 30720000 30724999
Chr01 30730000 30734999
Chr01 30755000 30759999
Chr01 30775000 30779999
Chr01 31120000 31124999
Chr01 31185000 31189999
Chr01 31210000 31214999
Chr01 31215000 31219999
Chr01 31340000 31344999
Chr01 32040000 32044999
Chr01 32055000 32059999
Chr01 32090000 32094999
Chr01 32110000 32114999
Chr01 32155000 32159999
Chr01 32215000 32219999
Chr01 32225000 32229999
Chr01 32250000 32254999
Chr01 32285000 32289999
Chr01 32290000 32294999
Chr01 32460000 32464999
Chr01 32475000 32479999
Chr01 32495000 32499999
Chr01 32500000 32504999
Chr01 32505000 32509999
Chr01 32520000 32524999
Chr01 32625000 32629999
Chr01 32705000 32709999
Chr01 32710000 32714999
Chr01 32830000 32834999
Chr01 32835000 32839999
Chr01 33010000 33014999
Chr01 33060000 33064999
Chr01 33135000 33139999
Chr01 33140000 33144999
Chr01 33145000 33149999
